tree_sample_id	alignment_length	missing_sites	missing_fraction	alignment_qc_pass
AUS__SAMEA751508	4086189	381419	0.09334345523420479	True
AUS__SAMEA751513	4086189	388823	0.09515541253720765	True
AUS__SAMEA751511	4086189	377733	0.09244139221166715	True
AUS__SAMEA751512	4086189	368423	0.09016298560835047	True
AUS__SAMEA751183	4086189	380158	0.09303485472649455	True
AUS__SAMEA751337	4086189	399896	0.0978652725069741	True
AUS__SAMEA751155	4086189	378843	0.09271303897103145	True
AUS__SAMEA751475	4086189	369273	0.09037100339705285	True
AUS__SAMEA751476	4086189	385575	0.09436053985755431	True
AUS__SAMEA751477	4086189	386119	0.09449367124232384	True
AUS__SAMN18200432	4086189	381591	0.09338554824556573	True
AUS__SAMN22857989	4086189	382948	0.09371764252705883	True
AUS__SAMN22858044	4086189	383397	0.09382752486485574	True
AUS__SAMN22857945	4086189	382506	0.09360947327693359	True
AUS__SAMN22858020	4086189	383308	0.09380574417874454	True
AUS__SAMN22858066	4086189	383179	0.09377417442022383	True
AUS__SAMN22858115	4086189	382530	0.09361534672037931	True
AUS__SAMN18200430	4086189	381582	0.09338334570427359	True
AUS__SAMN22858161	4086189	382941	0.09371592943938717	True
AUS__SAMN22858166	4086189	384748	0.09415815078548741	True
AUS__SAMN22858150	4086189	384061	0.09399002346685384	True
AUS__SAMN22858181	4086189	382659	0.09364691647890003	True
AUS__SAMN08443709	4086189	388626	0.09510720135559075	True
AUS__SAMN08443715	4086189	384901	0.09419559398745384	True
AUS__SAMN07235949	4086189	384839	0.09418042092521907	True
AUS__SAMN08443734	4086189	382399	0.09358328750823812	True
AUS__SAMN08443746	4086189	384356	0.09406221787587407	True
AUS__SAMN08443742	4086189	387786	0.09490163083499074	True
AUS__SAMN08443767	4086189	382868	0.09369806438223978	True
AUS__SAMN18200431	4086189	391236	0.09574593833031218	True
AUS__SAMN08443771	4086189	382373	0.09357692461117192	True
AUS__SAMN08443772	4086189	382134	0.09351843490352502	True
AUS__SAMN45810538	4086189	394751	0.09660615306829909	True
AUS__SAMN45810571	4086189	382137	0.09351916908395573	True
AUS__SAMN45810572	4086189	386632	0.09461921609597598	True
AUS__SAMN45810573	4086189	748838	0.1832607351250762	True
AUS__SAMN45810574	4086189	754371	0.18461480856612358	True
AUS__SAMN08443778	4086189	386027	0.09447115637578193	True
AUS__SAMN08443780	4086189	382093	0.09350840110430526	True
AUS__SAMN45810527	4086189	398733	0.0975806552266672	True
AUS__SAMN45810539	4086189	383341	0.0938138201634824	True
AUS__SAMN45810547	4086189	383290	0.09380133909616026	True
AUS__SAMN45810575	4086189	799834	0.1957408235399782	True
AUS__SAMN45810511	4086189	385722	0.09439651469865931	True
AUS__SAMN44480251	4086189	385237	0.09427782219569383	True
AUS__SAMN44480252	4086189	385258	0.09428296145870883	True
AUS__SAMN45810503	4086189	383041	0.09374040212041097	True
AUS__SAMN45810504	4086189	391062	0.09570335586533076	True
AUS__SAMN45810513	4086189	384945	0.09420636196710432	True
AUS__SAMN45810536	4086189	383577	0.0938715756906986	True
AUS__SAMN45810543	4086189	800433	0.19588741489931083	True
AUS__SAMN45810549	4086189	792344	0.19390781973129487	True
AUS__SAMN45810556	4086189	802561	0.1964081935514975	True
AUS__SAMN45810557	4086189	752518	0.1841613297867524	True
AUS__SAMN45810558	4086189	728555	0.17829694123301687	True
AUS__SAMN45810562	4086189	793354	0.19415499380963533	True
AUS__SAMN45810564	4086189	389861	0.0954094389662348	True
AUS__SAMN45810580	4086189	386017	0.09446870910767956	True
AUS__SAMN45810582	4086189	800274	0.19584850333648296	True
AUS__SAMN45810584	4086189	387652	0.09486883744241884	True
AUS__SAMN45810594	4086189	410449	0.10044787453541675	True
AUS__SAMN45810596	4086189	385443	0.09432823591860288	True
AUS__SAMN45810598	4086189	384604	0.09412291012481312	True
AUS__SAMN45810606	4086189	803651	0.19667494577465702	True
AUS__SAMN45810610	4086189	381705	0.09341344710193288	True
AUS__SAMN45810611	4086189	387294	0.0947812252443536	True
AUS__SAMN45810627	4086189	729552	0.17854093386282427	True
AUS__SAMN45810630	4086189	790519	0.19346119330261033	True
AUS__SAMN45810633	4086189	383839	0.09393569411498097	True
AUS__SAMN45810634	4086189	385918	0.09444448115346599	True
