genome_record_id	sample_id	biosample_accession	assembly_accession	run_accession	country_iso3	country_name	collection_date_raw	date_lower	date_upper	year	month	quarter	date_resolution	date_month_or_quarter	project_id	project_id_source	source_dataset	source_role	model_denominator_role	genome_candidate	genome_qc_status	genome_observation_eligible	sampling_process_observed	sequencing_success	ct_value	specimen_type	preliminary_lineage_id	lineage_definition_status	published_branch	published_lineage	published_sublineage	ptxP_label	fim3_label	marker_23s_status	duplicate_of_focal	duplicate_group_size	data_freeze_date	provenance_note	local_fasta_path	total_sequence_length	gc_percent	n_contigs	contig_n50	catalog_qc_status	continent	sequence_acquisition	year_numeric	lineage_stratum	time_stratum	rank_hash	selection_reason	tree_role	background_replicate
JPN::SAMEA41218918	SAMEA41218918	SAMEA41218918	RRASM_ERR1775178	ERR1775178	JPN	Japan	2003	2003-01-01	2003-12-31	2003			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.		3854128	67.85	387	20727	ok	Asia	local_fasta	2003.0	ptxP1/fim3-1	2000_2004	005ab027dfa67106b6d87829b26b9e340b9d9126626f774a0f726af99b9425a7	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989211	SAMEA117989211	SAMEA117989211		ERR14837607	BEL	Belgium	2014-09-04	2014-09-04	2014-09-04	2014	9	3	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2014.0	ptxP3/fim3-1	2010_2014	0087d9d10568430be7f05e929094f12b95bf47e01013762b9bf94e6c299d1c12	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989208	SAMEA117989208	SAMEA117989208		ERR14837604	BEL	Belgium	2014-07-30	2014-07-30	2014-07-30	2014	7	3	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2014.0	ptxP3/fim3-1	2010_2014	00d6d35539307a0d36b6f934c56512b37784e5e4940df330e13c85fac371b7aa	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989467	SAMEA117989467	SAMEA117989467		ERR14837863	BEL	Belgium	2019-04-24	2019-04-24	2019-04-24	2019	4	2	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2019.0	ptxP3/fim3-1	2015_2019	0159d7607249aa653875f2f90ed230f854e59da3bbc7430405b6d6b47c5c4360	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989479	SAMEA117989479	SAMEA117989479		ERR14837875	BEL	Belgium	2019-07-24	2019-07-24	2019-07-24	2019	7	3	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			ptxP3/fim3-2	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2019.0	ptxP3/fim3-2	2015_2019	01d74fd6b6d02044e0836a282f65cdd151811aa9b576128156f1388e99e0d598	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989286	SAMEA117989286	SAMEA117989286		ERR14837682	BEL	Belgium	2017-07-25	2017-07-25	2017-07-25	2017	7	3	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2017.0	ptxP3/fim3-1	2015_2019	022ea85d299a2d4cd83eef79099d8b21fbad5dd1c49ed6a607d3754165311069	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41216668	SAMEA41216668	SAMEA41216668		ERR1775175	JPN	Japan	1986	1986-01-01	1986-12-31	1986			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1986.0	ptxP1/fim3-1	1985_1989	0282dde29b102f9b5f48069bc27134f13e0ee3664b6b38a5f0bee10a56e3885f	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989272	SAMEA117989272	SAMEA117989272		ERR14837668	BEL	Belgium	2017-06-16	2017-06-16	2017-06-16	2017	6	2	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2017.0	ptxP3/fim3-1	2015_2019	02b53b8387ff8b3e113990f273523284dab3882a0ce05d67d0969f9fb82eafaf	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41275918	SAMEA41275918	SAMEA41275918		ERR1775254	JPN	Japan	1999	1999-01-01	1999-12-31	1999			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1999.0	ptxP3/fim3-1	1995_1999	02eefd8988703a8884facdf1eab053412abf995e3473ae3b636a9be09ff491e6	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41257918	SAMEA41257918	SAMEA41257918		ERR1775230	JPN	Japan	2012	2012-01-01	2012-12-31	2012			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2012.0	ptxP3/fim3-1	2010_2014	03c9d419dc2540eb67276f5ade3f886607240ca5f40a9a6ee3be0dc9b1cdf43e	historical_stratified_anchor_cap3_cell_cap90_country	focal	
