finding_id	scope	numerator	denominator	percent	estimate	interpretation	limitation
focal_tree_l10207	all focal tree tips	271	774	35.0129198966408	271/774	Frozen tree membership of L1_02.07	Conditional on selected public-tree genomes
l10207_ptxP3_among_typed	L1_02.07 with source ptxP annotation	93	93	100	93/93	Every ptxP-typed L1_02.07 tip was ptxP3	178 of 271 L1_02.07 tips lacked ptxP annotation
l10207_ptxP3_fim3_1_among_jointly_typed	L1_02.07 with both source antigen annotations	83	83	100	83/83	Every jointly typed L1_02.07 tip was ptxP3/fim3-1	188 of 271 L1_02.07 tips lacked a complete ptxP/fim3 annotation
l10207_frozen_23S_MR_A2047G	L1_02.07 with frozen standardised 23S status	33	80	41.25	33 MR_A2047G; 47 MS	Observed L1_02.07 tips included both 23S resistance-marker categories	191 of 271 L1_02.07 tips lacked frozen 23S status
l10207_frozen_PRN_disrupted	L1_02.07 with interpretable frozen PRN structure	17	78	21.7948717948718	17 disrupted; 61 intact	L1_02.07 was not restricted to one frozen PRN structural state	193 of 271 L1_02.07 tips lacked an interpretable frozen PRN endpoint
l10207_frozen_PRN_disruption_mechanisms	structurally disrupted L1_02.07 tips	17	17	100	11 IS481; 1 inversion/rearrangement; 5 other	Observed structurally disrupted L1_02.07 tips represented multiple PRN mechanisms	Mechanism counts are conditional on frozen interpretable genomic calls, not protein phenotype
published_MT28_labels_in_l10207	focal tips with explicit published MT28 labels	82	82	100	13 MS-MT28; 35 MR-MT28-others; 19 MR-MT28-PG1; 15 MR-MT28-PG2	All focal tips carrying a source-published MT28 sublineage label mapped to L1_02.07	Source-published MT28 sublineage labels were available for 82 of 271 focal L1_02.07 tips; absence was retained as missing and does not rule out clade membership
CHN_shift_within_MR_A2047G	CHN / frozen_23S_status / MR_A2047G	27	28	96.4285714285714	pre 1/80; resurgence 27/28; Fisher OR 1312.7, p=3.692e-23	The Chinese L1_02.07 period shift persisted within MR_A2047G-annotated tips	Within-annotated-sample check; resurgence 23S coverage was incomplete; shared project exists, but none has >=5 annotated records in each period
CHN_shift_within_MS	CHN / frozen_23S_status / MS	18	18	100	pre 2/18; resurgence 18/18; Fisher OR Inf, p=4.187e-08	The Chinese L1_02.07 period shift also persisted within MS-annotated tips	Within-annotated-sample check; resurgence 23S coverage was incomplete; no project represented in both periods
JPN_shift_within_MS	JPN / frozen_23S_status / MS	7	8	87.5	pre 0/19; resurgence 7/8; Fisher OR Inf, p=9.009e-06	The Japanese L1_02.07 period shift was present among MS-annotated tips	Only 8 of 60 Japanese resurgence tips had frozen 23S status; no project represented in both periods
CHN_shift_within_PRN_intact	CHN / frozen_PRN_outcome / intact	27	30	90	pre 4/40; resurgence 27/30; Fisher OR 71.267, p=9.085e-12	The Chinese L1_02.07 period shift persisted among frozen-PRN-intact tips	Only interpretable frozen PRN calls were included; shared project exists, but none has >=5 annotated records in each period
JPN_shift_within_PRN_intact	JPN / frozen_PRN_outcome / intact	14	16	87.5	pre 0/18; resurgence 14/16; Fisher OR Inf, p=8.621e-08	The Japanese L1_02.07 period shift persisted among frozen-PRN-intact tips	Only interpretable frozen PRN calls were included; no project represented in both periods
CHN_shift_within_ptxP3_fim3_1	CHN / source_antigen_profile / ptxP3/fim3-1	45	45	100	pre 2/12; resurgence 45/45; Fisher OR Inf, p=1.528e-09	The Chinese L1_02.07 period shift persisted within the observed ptxP3/fim3-1 stratum	Only 46 of 153 Chinese resurgence tips had both antigen annotations; shared project exists, but none has >=5 annotated records in each period
