tree_sample_id	genome_record_id	tree_role	country_iso3	epidemic_period	model_sublineage_id	primary_model_lineage_id	published_branch	published_lineage	published_sublineage	published_mt28_label	has_published_mt28_label	is_l10207	inside_published_mt28_mrca	published_annotation_source
AUS__SAMN44480251	AUS::SAMN44480251	focal	AUS	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
AUS__SAMN44480252	AUS::SAMN44480252	focal	AUS	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
AUS__SAMN45810584	AUS::SAMN45810584	focal	AUS	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
BEL__SAMEA117989226	BEL::SAMEA117989226	focal	BEL	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
BEL__SAMEA117989259	BEL::SAMEA117989259	focal	BEL	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
BEL__SAMEA117989308	BEL::SAMEA117989308	focal	BEL	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
BEL__SAMEA117989513	BEL::SAMEA117989513	focal	BEL	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
BEL__SAMEA117989545	BEL::SAMEA117989545	focal	BEL	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
BEL__SAMEA117989573	BEL::SAMEA117989573	focal	BEL	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
BEL__SAMEA117989613	BEL::SAMEA117989613	focal	BEL	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN07329785	CHN::SAMN07329785	focal	CHN	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN39683369	CHN::SAMN39683369	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN39683412	CHN::SAMN39683412	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN39683447	CHN::SAMN39683447	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN39683481	CHN::SAMN39683481	focal	CHN	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN40924133	CHN::SAMN40924133	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN40924154	CHN::SAMN40924154	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391103	CHN::SAMN42391103	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391104	CHN::SAMN42391104	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391115	CHN::SAMN42391115	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391116	CHN::SAMN42391116	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391118	CHN::SAMN42391118	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391119	CHN::SAMN42391119	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391121	CHN::SAMN42391121	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391122	CHN::SAMN42391122	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391124	CHN::SAMN42391124	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391126	CHN::SAMN42391126	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391128	CHN::SAMN42391128	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391129	CHN::SAMN42391129	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391130	CHN::SAMN42391130	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391131	CHN::SAMN42391131	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391132	CHN::SAMN42391132	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391133	CHN::SAMN42391133	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391134	CHN::SAMN42391134	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391135	CHN::SAMN42391135	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391136	CHN::SAMN42391136	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391137	CHN::SAMN42391137	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391138	CHN::SAMN42391138	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391139	CHN::SAMN42391139	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391140	CHN::SAMN42391140	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391141	CHN::SAMN42391141	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391142	CHN::SAMN42391142	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391143	CHN::SAMN42391143	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391144	CHN::SAMN42391144	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391145	CHN::SAMN42391145	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391146	CHN::SAMN42391146	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391147	CHN::SAMN42391147	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391148	CHN::SAMN42391148	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391149	CHN::SAMN42391149	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN42391150	CHN::SAMN42391150	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024010	CHN::SAMN43024010	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024011	CHN::SAMN43024011	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
