tree_sample_id	primary_model_lineage_id	nearest_cgmlst_same_lineage	five_neighbour_same_lineage_fraction
AUS__SAMEA751512	Other	True	0.4
AUS__SAMEA751511	Other	True	0.6
AUS__SAMEA751508	Other	True	1.0
AUS__SAMEA751337	L1_02.05	True	1.0
AUS__SAMEA751475	Other	True	0.6
AUS__SAMEA751476	L1_02.05	True	1.0
AUS__SAMEA751477	L1_02.05	True	1.0
AUS__SAMN18200432	L1_02.05	True	1.0
AUS__SAMEA751513	Other	True	0.6
AUS__SAMN22857989	L1_02.06	True	1.0
AUS__SAMEA751183	Other	True	0.6
AUS__SAMEA751155	L1_02.05	True	1.0
AUS__SAMN22858044	L1_02.06	True	0.6
AUS__SAMN22857945	L1_02.06	True	0.6
AUS__SAMN22858020	L1_02.05	True	1.0
AUS__SAMN22858066	L1_02.06	True	0.6
AUS__SAMN22858115	L1_02.06	True	1.0
AUS__SAMN18200430	L1_02.05	True	1.0
AUS__SAMN22858161	L1_02.05	True	1.0
AUS__SAMN22858166	L1_02.05	True	1.0
AUS__SAMN22858150	L1_02.05	True	1.0
AUS__SAMN22858181	L1_02.06	True	1.0
AUS__SAMN08443709	L1_02.06	True	1.0
AUS__SAMN08443715	L1_01.02	True	1.0
AUS__SAMN07235949	L1_02.06	True	1.0
AUS__SAMN08443734	L1_02.06	True	0.6
AUS__SAMN08443746	L1_02.06	True	1.0
AUS__SAMN08443742	L1_02.06	True	1.0
AUS__SAMN08443767	L1_02.06	True	1.0
AUS__SAMN18200431	L1_01.02	True	1.0
AUS__SAMN08443771	L1_02.06	True	1.0
AUS__SAMN08443772	L1_02.06	True	1.0
AUS__SAMN45810538	L1_02.06	True	1.0
AUS__SAMN45810571	L1_02.06	True	1.0
AUS__SAMN08443778	L1_02.06	True	1.0
AUS__SAMN08443780	L1_02.06	True	1.0
AUS__SAMN45810527	L1_02.06	True	1.0
AUS__SAMN45810539	L1_02.06	True	1.0
AUS__SAMN45810547	L1_02.06	True	1.0
AUS__SAMN45810511	L1_02.06	True	1.0
AUS__SAMN44480251	L1_02.07	True	1.0
AUS__SAMN44480252	L1_02.07	True	1.0
AUS__SAMN45810503	L1_02.05	True	1.0
AUS__SAMN45810504	L1_02.05	True	1.0
AUS__SAMN45810513	L1_02.06	True	1.0
AUS__SAMN45810536	L1_02.06	True	1.0
AUS__SAMN45810564	L1_02.06	True	1.0
AUS__SAMN45810580	L1_02.06	True	1.0
AUS__SAMN45810584	L1_02.07	True	1.0
AUS__SAMN45810594	L1_02.06	True	1.0
AUS__SAMN45810596	L1_02.05	True	1.0
AUS__SAMN45810598	L1_02.05	True	1.0
AUS__SAMN45810610	L1_02.05	True	1.0
AUS__SAMN45810611	L1_01.02	True	1.0
AUS__SAMN45810572	L1_02.06	True	1.0
AUS__SAMN45810638	L1_02.05	True	1.0
AUS__SAMN45810640	L1_02.05	True	1.0
AUS__SAMN45810642	L1_02.06	True	1.0
AUS__SAMN45810646	L1_02.05	True	1.0
BEL__SAMEA117989205	L1_02.06	True	0.6
BEL__SAMEA117989211	L1_02.06	True	1.0
BEL__SAMEA117989214	L1_02.05	True	1.0
BEL__SAMEA117989272	L1_02.06	True	1.0
BEL__SAMEA117989286	L1_02.06	True	1.0
BEL__SAMEA117989308	L1_02.07	True	1.0
AUS__SAMN45810634	L1_02.05	True	1.0
BEL__SAMEA117989309	L1_02.05	True	1.0
BEL__SAMEA117989425	L1_02.05	True	1.0
BEL__SAMEA117989467	L1_02.06	True	1.0
BEL__SAMEA117989522	L1_02.06	True	1.0
BEL__SAMEA117989526	L1_02.06	True	1.0
BEL__SAMEA117989542	L1_02.06	True	1.0
BEL__SAMEA117989549	L1_02.06	True	1.0
BEL__SAMEA117989554	L1_02.06	True	1.0
BEL__SAMEA117989573	L1_02.07	True	1.0
BEL__SAMEA117989576	L1_02.06	True	1.0
BEL__SAMEA117989577	L1_02.06	True	1.0
BEL__SAMEA117989580	L1_02.06	True	1.0
CHN__SAMN03249373	Other	True	1.0
CHN__SAMN22851881	Other	True	1.0
