Sample1	Sample2	Distance	Mismatches (proportion)	Match count	Mismatch count	cgmlst_jointly_called_loci	cgmlst_allelic_mismatches	cgmlst_mismatch_fraction
AUS__SAMEA751508	AUS__SAMEA751513	101	0.0094436652641421	10594	101	1969	43	0.021838496698831894
AUS__SAMEA751508	AUS__SAMEA751511	53	0.0048906523945741	10784	53	1987	23	0.011575239053850024
AUS__SAMEA751508	AUS__SAMEA751512	86	0.0079182395727833	10775	86	1988	34	0.01710261569416499
AUS__SAMEA751508	AUS__SAMEA751183	88	0.0081225770721801	10746	88	1984	34	0.017137096774193547
AUS__SAMEA751508	AUS__SAMEA751337	128	0.0119861410244404	10551	128	1968	53	0.02693089430894309
AUS__SAMEA751508	AUS__SAMEA751155	122	0.0112910689495603	10683	122	1981	46	0.023220595658758204
AUS__SAMEA751508	AUS__SAMEA751475	95	0.0087557603686635	10755	95	1986	41	0.020644511581067473
AUS__SAMEA751508	AUS__SAMEA751476	117	0.010912143256855	10605	117	1970	45	0.02284263959390863
AUS__SAMEA751508	AUS__SAMEA751477	114	0.0106273888319194	10613	114	1971	46	0.023338406900050734
AUS__SAMEA751508	AUS__SAMN18200432	99	0.0091051227812011	10774	99	1977	42	0.021244309559939303
AUS__SAMEA751508	AUS__SAMN22857989	107	0.0099119962945808	10688	107	1987	42	0.021137393054856568
AUS__SAMEA751508	AUS__SAMN22858044	103	0.0095733804256901	10656	103	1988	40	0.02012072434607646
AUS__SAMEA751508	AUS__SAMN22857945	114	0.0105584884690191	10683	114	1986	41	0.020644511581067473
AUS__SAMEA751508	AUS__SAMN22858020	115	0.0106679035250463	10665	115	1986	43	0.0216515609264854
AUS__SAMEA751508	AUS__SAMN22858066	104	0.0096296296296296	10696	104	1986	40	0.02014098690835851
AUS__SAMEA751508	AUS__SAMN22858115	107	0.009897326796781	10704	107	1988	41	0.02062374245472837
AUS__SAMEA751508	AUS__SAMN18200430	98	0.0090131518440172	10775	98	1989	44	0.02212166918049271
AUS__SAMEA751508	AUS__SAMN22858161	105	0.0097330367074527	10683	105	1989	44	0.02212166918049271
AUS__SAMEA751508	AUS__SAMN22858166	112	0.0104663115596673	10589	112	1985	44	0.02216624685138539
AUS__SAMEA751508	AUS__SAMN22858150	108	0.0100157655568951	10675	108	1989	44	0.02212166918049271
AUS__SAMEA751508	AUS__SAMN22858181	108	0.0100083402835696	10683	108	1988	45	0.022635814889336015
AUS__SAMEA751508	AUS__SAMN08443709	117	0.010908073839269	10609	117	1989	50	0.02513826043237808
AUS__SAMEA751508	AUS__SAMN08443715	100	0.0093492894540014	10596	100	1975	39	0.019746835443037975
AUS__SAMEA751508	AUS__SAMN07235949	102	0.0094000552944429	10749	102	1989	43	0.021618903971845148
AUS__SAMEA751508	AUS__SAMN08443734	101	0.0093406085267733	10712	101	1989	43	0.021618903971845148
AUS__SAMEA751508	AUS__SAMN08443746	118	0.0110064359667941	10603	118	1988	46	0.023138832997987926
AUS__SAMEA751508	AUS__SAMN08443742	113	0.0105223950088462	10626	113	1988	50	0.025150905432595575
AUS__SAMEA751508	AUS__SAMN08443767	112	0.0103492884864165	10710	112	1989	47	0.023629964806435394
AUS__SAMEA751508	AUS__SAMN18200431	97	0.0089789873183375	10706	97	1971	44	0.022323693556570268
AUS__SAMEA751508	AUS__SAMN08443771	105	0.0096872405203432	10734	105	1989	44	0.02212166918049271
AUS__SAMEA751508	AUS__SAMN08443772	107	0.0098836135230001	10719	107	1989	50	0.02513826043237808
AUS__SAMEA751508	AUS__SAMN45810538	258	0.0244851475752111	10279	258	1948	47	0.024127310061601643
AUS__SAMEA751508	AUS__SAMN45810571	113	0.0104697489113314	10680	113	1987	45	0.02264720684448918
AUS__SAMEA751508	AUS__SAMN45810572	121	0.0112547669984187	10630	121	1986	51	0.0256797583081571
AUS__SAMEA751508	AUS__SAMN08443778	116	0.0107090103397341	10716	116	1989	50	0.02513826043237808
AUS__SAMEA751508	AUS__SAMN08443780	113	0.0104639318455412	10686	113	1988	51	0.025653923541247486
AUS__SAMEA751508	AUS__SAMN45810527	415	0.0388394946186242	10270	415	1881	46	0.024455077086656035
AUS__SAMEA751508	AUS__SAMN45810539	118	0.0110280373831775	10582	118	1982	45	0.022704339051463168
AUS__SAMEA751508	AUS__SAMN45810547	112	0.0104263638056227	10630	112	1983	45	0.0226928895612708
AUS__SAMEA751508	AUS__SAMN45810511	142	0.0132499766725762	10575	142	1981	45	0.02271580010095911
AUS__SAMEA751508	AUS__SAMN44480251	106	0.0097543020152756	10761	106	1986	47	0.02366565961732125
AUS__SAMEA751508	AUS__SAMN44480252	107	0.0098472298914043	10759	107	1986	47	0.02366565961732125
AUS__SAMEA751508	AUS__SAMN45810503	113	0.0104639318455412	10686	113	1986	45	0.022658610271903322
AUS__SAMEA751508	AUS__SAMN45810504	291	0.0273521947551461	10348	291	1952	43	0.022028688524590164
AUS__SAMEA751508	AUS__SAMN45810513	118	0.010938079347423	10670	118	1982	43	0.021695257315842584
AUS__SAMEA751508	AUS__SAMN45810536	120	0.011204481792717	10590	120	1983	45	0.0226928895612708
AUS__SAMEA751508	AUS__SAMN45810564	172	0.0163669235893044	10337	172	1967	47	0.02389425521098119
AUS__SAMEA751508	AUS__SAMN45810580	113	0.0104852927530852	10664	113	1989	46	0.023127199597787834
AUS__SAMEA751508	AUS__SAMN45810584	125	0.0116680668346868	10588	125	1978	47	0.023761375126390292
AUS__SAMEA751508	AUS__SAMN45810594	180	0.0172281776416539	10268	180	1962	45	0.022935779816513763
AUS__SAMEA751508	AUS__SAMN45810596	121	0.0112526736724635	10632	121	1987	45	0.02264720684448918
AUS__SAMEA751508	AUS__SAMN45810598	112	0.0104137610413761	10643	112	1987	43	0.021640664318067437
AUS__SAMEA751508	AUS__SAMN45810610	106	0.0097704857590561	10743	106	1985	45	0.022670025188916875
AUS__SAMEA751508	AUS__SAMN45810611	115	0.0106738444403192	10659	115	1964	34	0.017311608961303463
AUS__SAMEA751508	AUS__SAMN45810633	120	0.0111121400129641	10679	120	1983	45	0.0226928895612708
AUS__SAMEA751508	AUS__SAMN45810634	110	0.010200296735905	10674	110	1986	43	0.0216515609264854
AUS__SAMEA751508	AUS__SAMN45810638	110	0.0101927353595255	10682	110	1988	43	0.021629778672032193
AUS__SAMEA751508	AUS__SAMN45810640	114	0.0105146651909241	10728	114	1985	46	0.023173803526448364
AUS__SAMEA751508	AUS__SAMN45810642	113	0.0104561858054964	10694	113	1988	45	0.022635814889336015
AUS__SAMEA751508	AUS__SAMN45810646	109	0.0100963319748054	10687	109	1987	43	0.021640664318067437
AUS__SAMEA751508	BEL__SAMEA117989205	97	0.0089310376576742	10764	97	1989	43	0.021618903971845148
AUS__SAMEA751508	BEL__SAMEA117989211	100	0.0091954022988505	10775	100	1989	43	0.021618903971845148
AUS__SAMEA751508	BEL__SAMEA117989214	99	0.0091042854515357	10775	99	1989	42	0.021116138763197588
AUS__SAMEA751508	BEL__SAMEA117989272	100	0.0092047128129602	10764	100	1989	43	0.021618903971845148
AUS__SAMEA751508	BEL__SAMEA117989286	102	0.009393130122479	10757	102	1989	45	0.02262443438914027
AUS__SAMEA751508	BEL__SAMEA117989308	106	0.0097480228066948	10768	106	1989	49	0.024635495223730517
AUS__SAMEA751508	BEL__SAMEA117989309	98	0.0090114942528735	10777	98	1989	41	0.020613373554550025
AUS__SAMEA751508	BEL__SAMEA117989425	95	0.0087557603686635	10755	95	1989	42	0.021116138763197588
AUS__SAMEA751508	BEL__SAMEA117989467	103	0.0094782368638998	10764	103	1989	45	0.02262443438914027
AUS__SAMEA751508	BEL__SAMEA117989522	103	0.0095211684229987	10715	103	1983	43	0.02168431669188099
AUS__SAMEA751508	BEL__SAMEA117989526	107	0.0098499493694191	10756	107	1989	44	0.02212166918049271
AUS__SAMEA751508	BEL__SAMEA117989542	104	0.0095658572479764	10768	104	1989	44	0.02212166918049271
AUS__SAMEA751508	BEL__SAMEA117989549	108	0.0099392600773053	10758	108	1989	46	0.023127199597787834
AUS__SAMEA751508	BEL__SAMEA117989554	109	0.0100239102446201	10765	109	1989	45	0.02262443438914027
AUS__SAMEA751508	BEL__SAMEA117989562	108	0.0099319477653117	10766	108	1989	45	0.02262443438914027
AUS__SAMEA751508	BEL__SAMEA117989573	105	0.0096863468634686	10735	105	1981	43	0.02170620898536093
AUS__SAMEA751508	BEL__SAMEA117989576	107	0.0098581168232909	10747	107	1989	46	0.023127199597787834
AUS__SAMEA751508	BEL__SAMEA117989577	107	0.0098427007634992	10764	107	1989	44	0.02212166918049271
AUS__SAMEA751508	BEL__SAMEA117989580	106	0.0097560975609756	10759	106	1989	44	0.02212166918049271
AUS__SAMEA751508	CHN__SAMN03249373	164	0.015032080659945	10746	164	1989	67	0.033685268979386625
AUS__SAMEA751508	CHN__SAMN22851881	175	0.0160491562729273	10729	175	1988	71	0.03571428571428571
AUS__SAMEA751508	CHN__SAMN09947459	104	0.0095649774671203	10769	104	1989	47	0.023629964806435394
AUS__SAMEA751508	CHN__SAMN09947460	94	0.0086707868277834	10747	94	1976	42	0.02125506072874494
AUS__SAMEA751508	CHN__SAMN09947464	93	0.0085250710422586	10816	93	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN09947467	93	0.0085289801907556	10811	93	1988	44	0.022132796780684104
AUS__SAMEA751508	CHN__SAMN09947473	87	0.0079750664588871	10822	87	1988	40	0.02012072434607646
AUS__SAMEA751508	CHN__SAMN09947475	93	0.0085297624507016	10810	93	1987	38	0.019124308002013084
AUS__SAMEA751508	CHN__SAMN11295233	89	0.0081621423330887	10815	89	1984	39	0.01965725806451613
AUS__SAMEA751508	CHN__SAMN07326325	97	0.0089097088270414	10790	97	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN07329769	92	0.0084659979755222	10775	92	1985	39	0.01964735516372796
AUS__SAMEA751508	CHN__SAMN07329777	104	0.0095870206489675	10744	104	1986	45	0.022658610271903322
AUS__SAMEA751508	CHN__SAMN07329779	95	0.008730815182428	10786	95	1987	41	0.0206341217916457
AUS__SAMEA751508	CHN__SAMN07329785	102	0.0093905358129257	10760	102	1989	46	0.023127199597787834
AUS__SAMEA751508	CHN__SAMN07329787	91	0.008348623853211	10809	91	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN09947486	93	0.0085250710422586	10816	93	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN09947492	90	0.0082561232914411	10811	90	1988	41	0.02062374245472837
AUS__SAMEA751508	CHN__SAMN09947493	90	0.0082553659878921	10812	90	1988	41	0.02062374245472837
AUS__SAMEA751508	CHN__SAMN07329781	93	0.0085336759038355	10805	93	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN07329782	95	0.0087412587412587	10773	95	1986	40	0.02014098690835851
AUS__SAMEA751508	CHN__SAMN07329783	92	0.0084621044885945	10780	92	1986	39	0.019637462235649546
AUS__SAMEA751508	CHN__SAMN07329789	94	0.0086349439647253	10792	94	1988	41	0.02062374245472837
AUS__SAMEA751508	CHN__SAMN07329790	95	0.0087147968076323	10806	95	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN07329793	102	0.0093948604586902	10755	102	1986	42	0.021148036253776436
AUS__SAMEA751508	CHN__SAMN33268689	101	0.009287356321839	10774	101	1971	42	0.0213089802130898
AUS__SAMEA751508	CHN__SAMN33268690	94	0.0086206896551724	10810	94	1985	40	0.020151133501259445
AUS__SAMEA751508	CHN__SAMN39683174	109	0.0100832562442183	10701	109	1985	44	0.02216624685138539
AUS__SAMEA751508	CHN__SAMN39683176	117	0.0107953496955157	10721	117	1988	44	0.022132796780684104
AUS__SAMEA751508	CHN__SAMN39682877	96	0.0088057237204182	10806	96	1988	41	0.02062374245472837
AUS__SAMEA751508	CHN__SAMN39682878	96	0.0088154269972451	10794	96	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN09941175	121	0.0111295069904341	10751	121	1970	38	0.019289340101522844
AUS__SAMEA751508	CHN__SAMN17613197	105	0.0096427587473597	10784	105	1985	42	0.02115869017632242
AUS__SAMEA751508	CHN__SAMN17613198	102	0.0094069906852347	10741	102	1985	42	0.02115869017632242
AUS__SAMEA751508	CHN__SAMN22233915	93	0.0085368092527997	10801	93	1986	39	0.019637462235649546
AUS__SAMEA751508	CHN__SAMN22233924	96	0.0088300220750551	10776	96	1989	44	0.02212166918049271
AUS__SAMEA751508	CHN__SAMN32033974	96	0.0088089557717012	10802	96	1987	43	0.021640664318067437
AUS__SAMEA751508	CHN__SAMN32033981	97	0.0088950022925263	10808	97	1987	41	0.0206341217916457
AUS__SAMEA751508	CHN__SAMN33268552	105	0.0096613912403386	10763	105	1985	49	0.02468513853904282
AUS__SAMEA751508	CHN__SAMN39682971	97	0.0088958180484225	10807	97	1986	39	0.019637462235649546
AUS__SAMEA751508	CHN__SAMN39683227	108	0.0099328612158557	10765	108	1987	45	0.02264720684448918
AUS__SAMEA751508	CHN__SAMN50151934	106	0.0097605893186003	10754	106	1988	45	0.022635814889336015
AUS__SAMEA751508	CHN__SAMN50151935	92	0.0084442404772831	10803	92	1988	41	0.02062374245472837
AUS__SAMEA751508	CHN__SAMN50151936	92	0.0084450156049201	10802	92	1988	41	0.02062374245472837
AUS__SAMEA751508	CHN__SAMN50151937	98	0.0090007347538574	10790	98	1987	43	0.021640664318067437
AUS__SAMEA751508	CHN__SAMN50151938	91	0.0083539888001468	10802	91	1988	40	0.02012072434607646
AUS__SAMEA751508	CHN__SAMN50151939	96	0.0088113813675998	10799	96	1987	41	0.0206341217916457
AUS__SAMEA751508	CHN__SAMN50151940	102	0.0093888070692194	10762	102	1988	45	0.022635814889336015
AUS__SAMEA751508	CHN__SAMN50151941	95	0.008717195815746	10803	95	1987	42	0.021137393054856568
AUS__SAMEA751508	CHN__SAMN50151942	92	0.0084551052292987	10789	92	1988	43	0.021629778672032193
AUS__SAMEA751508	CHN__SAMN50151943	105	0.0096676180830494	10756	105	1989	44	0.02212166918049271
AUS__SAMEA751508	CHN__SAMN50151944	105	0.0096631695196024	10761	105	1988	45	0.022635814889336015
AUS__SAMEA751508	CHN__SAMN50151945	97	0.0089039838443179	10797	97	1987	41	0.0206341217916457
AUS__SAMEA751508	CHN__SAMN50151946	96	0.0088121901964384	10798	96	1988	42	0.02112676056338028
AUS__SAMEA751508	CHN__SAMN50151947	104	0.0095729013254786	10760	104	1989	45	0.02262443438914027
AUS__SAMEA751508	CHN__SAMN50151948	93	0.0085462231207498	10789	93	1988	40	0.02012072434607646
AUS__SAMEA751508	CHN__SAMN50151949	98	0.0089933009085069	10799	98	1987	43	0.021640664318067437
AUS__SAMEA751508	CHN__SAMN50151950	102	0.0093922651933701	10758	102	1987	43	0.021640664318067437
AUS__SAMEA751508	CHN__SAMN50151951	102	0.0093905358129257	10760	102	1987	43	0.021640664318067437
AUS__SAMEA751508	CHN__SAMN50151952	97	0.0089105272827484	10789	97	1982	38	0.01917255297679112
AUS__SAMEA751508	CHN__SAMN50151953	97	0.0089048012485082	10796	97	1986	41	0.020644511581067473
AUS__SAMEA751508	CHN__SAMN50151954	94	0.0086286029006792	10800	94	1987	38	0.019124308002013084
AUS__SAMEA751508	CHN__SAMN50151955	105	0.0096649484536082	10759	105	1989	45	0.02262443438914027
AUS__SAMEA751508	CHN__SAMN50151956	105	0.0096676180830494	10756	105	1989	45	0.02262443438914027
AUS__SAMEA751508	CHN__SAMN50151957	97	0.0089293933535855	10766	97	1988	43	0.021629778672032193
AUS__SAMEA751508	CHN__SAMN22233918	93	0.0085274161012286	10813	93	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN22233923	99	0.0090784044016506	10806	99	1987	42	0.021137393054856568
AUS__SAMEA751508	CHN__SAMN32033992	91	0.0083585928171213	10796	91	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN32033997	105	0.0096729617687701	10750	105	1988	47	0.023641851106639838
AUS__SAMEA751508	CHN__SAMN39683481	106	0.0097623871799594	10752	106	1989	46	0.023127199597787834
AUS__SAMEA751508	CHN__SAMN39683486	101	0.0092771195003214	10786	101	1984	41	0.02066532258064516
AUS__SAMEA751508	CHN__SAMN41373914	94	0.0086309797080157	10797	94	1985	40	0.020151133501259445
AUS__SAMEA751508	CHN__SAMN41373915	99	0.009090909090909	10791	99	1984	39	0.01965725806451613
AUS__SAMEA751508	CHN__SAMN41373916	99	0.009090909090909	10791	99	1983	38	0.019162884518406455
AUS__SAMEA751508	CHN__SAMN41373917	97	0.0089244640721317	10772	97	1985	39	0.01964735516372796
AUS__SAMEA751508	CHN__SAMN41373918	95	0.0087284086732818	10789	95	1987	38	0.019124308002013084
AUS__SAMEA751508	CHN__SAMN41373919	101	0.0092779717067793	10785	101	1983	38	0.019162884518406455
AUS__SAMEA751508	CHN__SAMN41373920	113	0.0104070731258058	10745	113	1988	47	0.023641851106639838
AUS__SAMEA751508	CHN__SAMN41373921	97	0.0089121646453509	10787	97	1986	39	0.019637462235649546
AUS__SAMEA751508	CHN__SAMN41373922	97	0.008919540229885	10778	97	1985	39	0.01964735516372796
AUS__SAMEA751508	CHN__SAMN41373923	105	0.0096854533714601	10736	105	1987	44	0.02214393558127831
AUS__SAMEA751508	CHN__SAMN41373924	98	0.0090081808989796	10781	98	1986	39	0.019637462235649546
AUS__SAMEA751508	CHN__SAMN41373925	93	0.0085375929496006	10800	93	1985	38	0.019143576826196475
AUS__SAMEA751508	CHN__SAMN41373927	98	0.0090032154340836	10787	98	1986	41	0.020644511581067473
AUS__SAMEA751508	CHN__SAMN41373928	96	0.0088105726872246	10800	96	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN41373929	94	0.0086293950243275	10799	94	1986	39	0.019637462235649546
AUS__SAMEA751508	CHN__SAMN41373930	102	0.0093767236624379	10776	102	1983	40	0.020171457387796268
AUS__SAMEA751508	CHN__SAMN41373931	97	0.008905618802791	10795	97	1985	39	0.01964735516372796
AUS__SAMEA751508	CHN__SAMN41373932	98	0.0090032154340836	10787	98	1986	41	0.020644511581067473
AUS__SAMEA751508	CHN__SAMN41373933	94	0.0086381179930159	10788	94	1987	38	0.019124308002013084
AUS__SAMEA751508	CHN__SAMN41373934	95	0.0087211970990544	10798	95	1986	38	0.019133937562940583
AUS__SAMEA751508	CHN__SAMN41373935	100	0.0091743119266055	10800	100	1985	40	0.020151133501259445
AUS__SAMEA751508	CHN__SAMN41373936	99	0.009079236977256	10805	99	1983	37	0.018658598083711547
AUS__SAMEA751508	CHN__SAMN41373937	95	0.008726805070733	10791	95	1985	38	0.019143576826196475
AUS__SAMEA751508	CHN__SAMN41373938	99	0.0090892398090341	10793	99	1985	39	0.01964735516372796
AUS__SAMEA751508	CHN__SAMN41373939	96	0.0088105726872246	10800	96	1984	38	0.019153225806451613
AUS__SAMEA751508	CHN__SAMN41373940	100	0.0091928663357234	10778	100	1983	39	0.019667170953101363
AUS__SAMEA751508	CHN__SAMN41373941	100	0.0091776798825256	10796	100	1986	39	0.019637462235649546
AUS__SAMEA751508	CHN__SAMN41373942	98	0.0090048699807038	10785	98	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN41373943	94	0.0086341508220813	10793	94	1985	38	0.019143576826196475
AUS__SAMEA751508	CHN__SAMN41373944	97	0.0089121646453509	10787	97	1984	39	0.01965725806451613
AUS__SAMEA751508	CHN__SAMN41373945	98	0.0089834081950682	10811	98	1985	38	0.019143576826196475
AUS__SAMEA751508	CHN__SAMN41373946	97	0.0089064365072077	10794	97	1984	39	0.01965725806451613
AUS__SAMEA751508	CHN__SAMN41373947	100	0.0091802074726888	10793	100	1983	39	0.019667170953101363
AUS__SAMEA751508	CHN__SAMN41373948	95	0.0087116001834021	10810	95	1982	38	0.01917255297679112
AUS__SAMEA751508	CHN__SAMN41373949	104	0.0095667371906908	10767	104	1987	43	0.021640664318067437
AUS__SAMEA751508	CHN__SAMN41373950	94	0.0086238532110091	10806	94	1986	38	0.019133937562940583
AUS__SAMEA751508	CHN__SAMN41373951	99	0.0090825688073394	10801	99	1982	36	0.018163471241170535
AUS__SAMEA751508	CHN__SAMN41373952	102	0.0093560814529444	10800	102	1984	38	0.019153225806451613
AUS__SAMEA751508	CHN__SAMN41373953	104	0.0095684975618732	10765	104	1989	44	0.02212166918049271
AUS__SAMEA751508	CHN__SAMN41373954	98	0.0089850554689648	10809	98	1983	39	0.019667170953101363
AUS__SAMEA751508	CHN__SAMN41373955	94	0.008623062104394	10807	94	1985	38	0.019143576826196475
AUS__SAMEA751508	CHN__SAMN41373956	94	0.0086349439647253	10792	94	1985	39	0.01964735516372796
AUS__SAMEA751508	CHN__SAMN41373957	97	0.0088990825688073	10803	97	1984	40	0.020161290322580645
AUS__SAMEA751508	CHN__SAMN41373958	106	0.009758792119315	10756	106	1987	45	0.02264720684448918
AUS__SAMEA751508	CHN__SAMN41373959	96	0.0088073394495412	10804	96	1984	38	0.019153225806451613
AUS__SAMEA751508	CHN__SAMN41373960	98	0.0089883518297716	10805	98	1983	40	0.020171457387796268
AUS__SAMEA751508	CHN__SAMN41373961	98	0.008990000917347	10803	98	1985	39	0.01964735516372796
AUS__SAMEA751508	CHN__SAMN41373962	97	0.0089015325318895	10800	97	1982	40	0.020181634712411706
AUS__SAMEA751508	CHN__SAMN41373963	95	0.0087139974316639	10807	95	1985	38	0.019143576826196475
AUS__SAMEA751508	CHN__SAMN41373964	98	0.0089957774921975	10796	98	1979	38	0.019201616978271854
AUS__SAMEA751508	CHN__SAMN41373965	99	0.009090909090909	10791	99	1983	39	0.019667170953101363
AUS__SAMEA751508	CHN__SAMN41373966	89	0.0081658867786035	10810	89	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN41373967	98	0.0089883518297716	10805	98	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN41373968	98	0.0089941262848751	10798	98	1983	38	0.019162884518406455
AUS__SAMEA751508	CHN__SAMN41373969	102	0.0093569397302999	10799	102	1983	40	0.020171457387796268
AUS__SAMEA751508	CHN__SAMN41373970	100	0.0091701054562127	10805	100	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN41373971	96	0.0088000733339444	10813	96	1984	38	0.019153225806451613
AUS__SAMEA751508	CHN__SAMN41373972	94	0.0086198991288399	10811	94	1986	39	0.019637462235649546
AUS__SAMEA751508	CHN__SAMN41373973	95	0.0087195961450206	10800	95	1985	38	0.019143576826196475
AUS__SAMEA751508	CHN__SAMN41373974	94	0.0086167384728206	10815	94	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN41373975	96	0.0088024940399779	10810	96	1983	38	0.019162884518406455
AUS__SAMEA751508	CHN__SAMN50151958	105	0.0096631695196024	10761	105	1989	46	0.023127199597787834
AUS__SAMEA751508	CHN__SAMN50151959	91	0.0083608967291436	10793	91	1987	40	0.020130850528434826
AUS__SAMEA751508	CHN__SAMN50151960	99	0.0091118269673262	10766	99	1989	44	0.02212166918049271
AUS__SAMEA751508	CHN__SAMN50151961	104	0.0095720202485043	10761	104	1988	45	0.022635814889336015
AUS__SAMEA751508	CHN__SAMN50151962	103	0.0094791091478004	10763	103	1989	45	0.02262443438914027
AUS__SAMEA751508	CHN__SAMN50151963	103	0.0094791091478004	10763	103	1989	45	0.02262443438914027
AUS__SAMEA751508	CHN__SAMN50151964	105	0.0096676180830494	10756	105	1988	47	0.023641851106639838
AUS__SAMEA751508	CHN__SAMN50151965	105	0.0096631695196024	10761	105	1988	47	0.023641851106639838
AUS__SAMEA751508	CHN__SAMN50151966	105	0.0096631695196024	10761	105	1988	44	0.022132796780684104
AUS__SAMEA751508	CHN__SAMN50151967	106	0.0097569955817378	10758	106	1989	45	0.02262443438914027
AUS__SAMEA751508	CHN__SAMN50151968	91	0.0083562901744719	10799	91	1987	38	0.019124308002013084
AUS__SAMEA751508	CHN__SAMN50151969	108	0.0099392600773053	10758	108	1989	46	0.023127199597787834
AUS__SAMEA751508	CHN__SAMN50151970	103	0.00948784082535	10753	103	1987	48	0.02415702063412179
AUS__SAMEA751508	CHN__SAMN50151971	96	0.0088146175741437	10795	96	1987	41	0.0206341217916457
AUS__SAMEA751508	CHN__SAMN50151972	94	0.0086309797080157	10797	94	1988	40	0.02012072434607646
AUS__SAMEA751508	CHN__SAMN50151973	106	0.0097551997055034	10760	106	1989	48	0.024132730015082957
AUS__SAMEA751508	CHN__SAMN50151974	93	0.0085328929259565	10806	93	1988	42	0.02112676056338028
AUS__SAMEA751508	CHN__SAMN50151975	93	0.0085360256998623	10802	93	1988	42	0.02112676056338028
AUS__SAMEA751508	CHN__SAMN50151976	93	0.0085352422907488	10803	93	1988	42	0.02112676056338028
AUS__SAMEA751508	CHN__SAMN50151977	104	0.0095702585810251	10763	104	1988	47	0.023641851106639838
AUS__SAMEA751508	CHN__SAMN50151978	98	0.0089916506101477	10801	98	1987	42	0.021137393054856568
AUS__SAMEA751508	CHN__SAMN50151979	92	0.0084411413891182	10807	92	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN50151980	92	0.0084426906488024	10805	92	1987	39	0.019627579265223957
AUS__SAMEA751508	CHN__SAMN50151981	97	0.0088958180484225	10807	97	1987	41	0.0206341217916457
AUS__SAMEA751508	CHN__SAMN50151982	98	0.0089916506101477	10801	98	1987	41	0.0206341217916457
AUS__SAMEA751508	CHN__SAMN50151983	97	0.0088990825688073	10803	97	1987	41	0.0206341217916457
AUS__SAMEA751508	CHN__SAMN41373926	110	0.010141052825666	10737	110	1987	45	0.02264720684448918
AUS__SAMEA751508	CHN__SAMN45156013	123	0.0114461194863204	10623	123	1984	45	0.022681451612903226
AUS__SAMEA751508	CHN__SAMN32034026	104	0.0095658572479764	10768	104	1989	47	0.023629964806435394
AUS__SAMEA751508	CHN__SAMN32034035	99	0.009103448275862	10776	99	1987	42	0.021137393054856568
AUS__SAMEA751508	CHN__SAMN39683296	107	0.0098790508724956	10724	107	1987	44	0.02214393558127831
AUS__SAMEA751508	CHN__SAMN39683299	115	0.0105893186003683	10745	115	1986	46	0.023162134944612285
AUS__SAMEA751508	CHN__SAMN42391088	93	0.0085297624507016	10810	93	1975	38	0.019240506329113925
AUS__SAMEA751508	CHN__SAMN42391089	96	0.0088008800880088	10812	96	1979	39	0.019706922688226377
AUS__SAMEA751508	CHN__SAMN42391090	93	0.0085250710422586	10816	93	1976	37	0.018724696356275303
AUS__SAMEA751508	CHN__SAMN42391091	93	0.0085289801907556	10811	93	1970	39	0.01979695431472081
AUS__SAMEA751508	CHN__SAMN42391092	97	0.0088966339539576	10806	97	1958	37	0.018896833503575076
AUS__SAMEA751508	CHN__SAMN42391093	94	0.0086333578251285	10794	94	1962	39	0.019877675840978593
AUS__SAMEA751508	CHN__SAMN42391095	93	0.0085250710422586	10816	93	1980	39	0.019696969696969695
AUS__SAMEA751508	CHN__SAMN42391096	95	0.0087084059033825	10814	95	1981	38	0.019182231196365473
AUS__SAMEA751508	CHN__SAMN42391098	93	0.0085258525852585	10815	93	1978	39	0.019716885743174924
