figure_source_file	derived_from
figure1a_cases.tsv	country_month_cases.tsv
figure1b_monthly_genomes.tsv	model_lineage_assignments.tsv
figure1c_cohort_flow.tsv	uniform_sequence_qc.tsv;alignment_missingness_final.tsv
figure2a_tree_tip_metadata.tsv	tree_tip_metadata.tsv
figure2b_tip_ancestry_support.tsv	tip_persistence_reseeding_support.tsv
figure2c_country_lineage_ancestry.tsv	country_lineage_phylogeographic_summary.tsv
figure2_tree_manifest.tsv	final IQ-TREE and midpoint-rooted outputs
figure3a_post_reseeding_edges.tsv	introduction_events.tsv
figure3b_successful_sampled_clusters.tsv	introduction_events.tsv
figure3c_cluster_probability.tsv	successful_sampled_cluster_probability.tsv
figure3d_threshold_sensitivity.tsv	events_thr0_5;events_thr0_7;events_thr0_9 validation JSON
figure4a_lineage_growth_main.tsv	lineage_relative_transmission.tsv
figure4b_lineage_growth_sensitivity.tsv	main and no-project lineage_relative_transmission.tsv
figure4c_monthly_latent_lineage_shares.tsv	monthly_sampling_corrected_lineage_shares.tsv
figure4d_raw_vs_corrected_shares.tsv	sampling_corrected_lineage_shares.tsv
figure5abc_monthly_counterfactuals.tsv	monthly_model_and_counterfactuals.tsv
figure5d_counterfactual_summary.tsv	main and no-project counterfactual_summary.tsv
figure5e_australia_ct_curve.tsv	australia_ct_success_curve.tsv
figure5f_identifiability_recovery.tsv	recovery_summary.tsv
