tree_sample_id	level 1	level 2	tree_role	country_iso3	date_lower	date_upper	date_resolution	year	month	epidemic_period	project_id	preliminary_lineage_id	model_lineage_id	model_sublineage_id	lineage_definition_method	lineage_definition_seed	lineage_definition_n_pops
AUS__SAMEA751508	1	1	focal	AUS	1971-01-01	1971-12-31	year	1971		prepandemic	PRJEB2274	ptxP1/fim3-1	L1_01	L1_01.01	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751513	1	1	focal	AUS	1974-01-01	1974-12-31	year	1974		prepandemic	PRJEB2274	ptxP1/fim3-1	L1_01	L1_01.01	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751511	1	1	focal	AUS	1977-01-01	1977-12-31	year	1977		prepandemic	PRJEB2274	ptxP1/fim3-1	L1_01	L1_01.01	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751512	1	1	focal	AUS	1977-01-01	1977-12-31	year	1977		prepandemic	PRJEB2274	ptxP1/fim3-1	L1_01	L1_01.01	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751183	1	1	focal	AUS	1995-01-01	1995-12-31	year	1995		prepandemic	PRJEB2274	ptxP1/fim3-1	L1_01	L1_01.01	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751337	2	5	focal	AUS	1998-01-01	1998-12-31	year	1998		prepandemic	PRJEB2274	ptxP1/fim3-1	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751155	2	5	focal	AUS	2000-01-01	2000-12-31	year	2000		prepandemic	PRJEB2274	ptxP1/fim3-1	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751475	1	1	focal	AUS	2000-01-01	2000-12-31	year	2000		prepandemic	PRJEB2274		L1_01	L1_01.01	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751476	2	5	focal	AUS	2004-01-01	2004-12-31	year	2004		prepandemic	PRJEB2274		L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMEA751477	2	5	focal	AUS	2004-01-01	2004-12-31	year	2004		prepandemic	PRJEB2274	ptxP1/fim3-1	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN18200432	2	5	focal	AUS	2008-01-01	2008-12-31	year	2008		prepandemic	PRJNA695314	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22857989	2	6	focal	AUS	2008-01-01	2008-12-31	year	2008		prepandemic	PRJNA562796	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22858044	2	6	focal	AUS	2008-01-01	2008-12-31	year	2008		prepandemic	PRJNA562796	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22857945	2	6	focal	AUS	2009-01-01	2009-12-31	year	2009		prepandemic	PRJNA562796	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22858020	2	5	focal	AUS	2009-01-01	2009-12-31	year	2009		prepandemic	PRJNA562796	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22858066	2	6	focal	AUS	2010-01-01	2010-12-31	year	2010		prepandemic	PRJNA562796	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22858115	2	6	focal	AUS	2010-01-01	2010-12-31	year	2010		prepandemic	PRJNA562796	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN18200430	2	5	focal	AUS	2011-01-01	2011-12-31	year	2011		prepandemic	PRJNA695314	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22858161	2	5	focal	AUS	2011-01-01	2011-12-31	year	2011		prepandemic	PRJNA562796	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22858166	2	5	focal	AUS	2011-01-01	2011-12-31	year	2011		prepandemic	PRJNA562796	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22858150	2	5	focal	AUS	2012-01-01	2012-12-31	year	2012		prepandemic	PRJNA562796	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN22858181	2	6	focal	AUS	2012-01-01	2012-12-31	year	2012		prepandemic	PRJNA562796	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
